,SigC,SigH,EpsC,EpsH,density,estimErr
465,0.175,0.0683,1.068,0.07,648.285,18.0
466,0.175,0.0683,1.068,0.09,641.173,20.0
467,0.175,0.0683,1.068,0.11,641.97,20.0
468,0.175,0.0683,1.068,0.13,646.766,17.0
469,0.175,0.1138,0.2465,0.03,636.217,20.0
470,0.175,0.1138,0.2465,0.05,638.979,17.0
471,0.175,0.1138,0.2465,0.07,638.162,18.0
472,0.175,0.1138,0.2465,0.09,641.348,17.0
473,0.175,0.1138,0.2465,0.11,642.773,19.0
474,0.175,0.1138,0.2465,0.13,640.864,21.0
475,0.175,0.1138,0.4108,0.03,637.915,22.0
476,0.175,0.1138,0.4108,0.05,643.753,16.0
477,0.175,0.1138,0.4108,0.07,640.627,17.0
478,0.175,0.1138,0.4108,0.09,645.057,15.0
479,0.175,0.1138,0.4108,0.11,639.419,19.0
480,0.175,0.1138,0.4108,0.13,641.693,17.0
481,0.175,0.1138,0.5751,0.03,644.208,16.0
482,0.175,0.1138,0.5751,0.05,641.854,20.0
483,0.175,0.1138,0.5751,0.07,643.618,16.0
484,0.175,0.1138,0.5751,0.09,646.556,15.0
485,0.175,0.1138,0.5751,0.11,646.724,17.0
486,0.175,0.1138,0.5751,0.13,646.813,15.0
487,0.175,0.1138,0.7394,0.03,643.023,18.0
488,0.175,0.1138,0.7394,0.05,645.046,20.0
489,0.175,0.1138,0.7394,0.07,647.65,19.0
490,0.175,0.1138,0.7394,0.09,645.7,16.0
491,0.175,0.1138,0.7394,0.11,643.205,19.0
492,0.175,0.1138,0.7394,0.13,647.315,19.0
493,0.175,0.1138,0.9037,0.03,649.659,21.0
494,0.175,0.1138,0.9037,0.05,645.233,21.0
495,0.175,0.1138,0.9037,0.07,648.916,12.0
496,0.175,0.1138,0.9037,0.09,650.837,14.0
497,0.175,0.1138,0.9037,0.11,650.089,14.0
498,0.175,0.1138,0.9037,0.13,648.692,17.0
499,0.175,0.1138,1.068,0.03,642.358,18.0
500,0.175,0.1138,1.068,0.05,650.702,17.0
